alpha,beta,relative_drift_%,wall_time_s,status
0.0,0.0,0.0007212987,4.7,ok
0.0,0.01,0.0007179199,4.6,ok
0.0,0.02,0.0007165517,4.7,ok
0.0,0.03,0.0007196196,4.7,ok
0.0,0.04,0.0011012368,4.7,ok
0.0,0.05,0.0012414605,4.6,ok
0.0,0.06,0.0007756822,4.6,ok
0.0,0.07,0.0008516553,4.8,ok
0.0,0.08,0.0009468860,4.6,ok
0.0,0.09,0.0010318246,4.6,ok
0.0,0.1,0.0018154049,4.6,ok
0.0,0.11,0.0016011462,4.6,ok
0.0,0.12,0.0010407798,4.7,ok
0.0,0.13,0.0006994449,4.7,ok
0.0,0.14,0.0007225323,4.7,ok
0.0,0.15,0.0008035115,4.6,ok
0.0,0.16,0.0007646440,4.6,ok
0.0,0.17,0.0010698942,4.7,ok
0.0,0.18,0.0011547498,4.6,ok
0.0,0.19,0.0011012059,4.6,ok
0.0,0.2,0.0009486067,4.6,ok
0.0,0.21,0.0015955908,4.6,ok
0.0,0.22,0.0018313044,4.6,ok
0.0,0.23,0.0007371569,5.0,ok
0.0,0.24,0.0016394854,5.0,ok
0.0,0.25,0.0016736060,5.0,ok
0.0,0.26,0.0011270556,4.7,ok
0.0,0.27,0.0061677455,4.5,ok
0.0,0.28,0.0056351956,4.3,ok
0.0,0.29,0.0016441084,4.6,ok
0.0,0.3,0.0127309011,4.4,ok
0.0,0.31,0.0065470360,4.4,ok
0.0,0.32,0.0154531220,4.6,ok
0.0,0.33,0.0200686886,4.5,ok
0.0,0.34,0.0104369332,4.6,ok
0.0,0.35,0.0062949276,4.5,ok
0.0,0.36,0.0159247287,4.3,ok
0.0,0.37,0.0182386156,4.0,ok
0.0,0.38,0.0137021689,3.9,ok
0.0,0.39,0.0149324414,3.9,ok
0.0,0.4,0.0133954827,3.9,ok
0.0,0.41,0.0120300024,3.9,ok
0.0,0.42,0.0109591724,3.9,ok
0.0,0.43,0.0105917305,3.9,ok
0.0,0.44,0.0085371970,4.0,ok
0.0,0.45,0.0180655009,4.1,ok
0.0,0.46,0.0180599297,4.0,ok
0.0,0.47,0.0176389827,4.4,ok
0.0,0.48,0.0105886323,3.9,ok
0.0,0.49,0.0127354672,3.7,ok
0.0,0.5,0.0130535801,4.0,ok
0.05,0.0,0.0007210914,5.0,ok
0.05,0.01,0.0007178473,5.0,ok
0.05,0.02,0.0007162097,4.7,ok
0.05,0.03,0.0007194642,4.7,ok
0.05,0.04,0.0010413911,4.7,ok
0.05,0.05,0.0010844667,4.6,ok
0.05,0.06,0.0007545590,4.6,ok
0.05,0.07,0.0008287805,4.6,ok
0.05,0.08,0.0008722914,5.0,ok
0.05,0.09,0.0009752749,4.7,ok
0.05,0.1,0.0016046909,4.6,ok
0.05,0.11,0.0014629332,4.7,ok
0.05,0.12,0.0010876800,4.7,ok
0.05,0.13,0.0006996678,4.7,ok
0.05,0.14,0.0006987661,4.7,ok
0.05,0.15,0.0007553054,5.0,ok
0.05,0.16,0.0007323062,5.0,ok
0.05,0.17,0.0010218850,4.6,ok
0.05,0.18,0.0011103994,4.6,ok
0.05,0.19,0.0010362608,4.7,ok
0.05,0.2,0.0009260324,5.0,ok
0.05,0.21,0.0013357897,5.0,ok
0.05,0.22,0.0013471909,4.9,ok
0.05,0.23,0.0012145334,4.7,ok
0.05,0.24,0.0010280003,4.7,ok
0.05,0.25,0.0010556325,4.7,ok
0.05,0.26,0.0006981236,4.7,ok
0.05,0.27,0.0056307977,4.5,ok
0.05,0.28,0.0056494160,4.4,ok
0.05,0.29,0.0017291299,4.6,ok
0.05,0.3,0.0114750489,4.4,ok
0.05,0.31,0.0035587530,4.6,ok
