alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,0.0007988180,0.0001358051,0.0,resume_from_csv
0.0,0.01,0.0032619704,0.0014120119,0.0,resume_from_csv
0.0,0.02,0.0041021007,0.0016423432,0.0,resume_from_csv
0.0,0.03,0.0024259044,0.0009356731,0.0,resume_from_csv
0.0,0.04,0.0033651805,0.0013517031,0.0,resume_from_csv
0.0,0.05,0.0028435407,0.0010333988,0.0,resume_from_csv
0.0,0.06,0.0015985968,0.0007360788,0.0,resume_from_csv
0.0,0.07,0.0022440827,0.0008703897,0.0,resume_from_csv
0.0,0.08,0.0018813384,0.0005632914,0.0,resume_from_csv
0.0,0.09,0.0018497778,0.0006509356,0.0,resume_from_csv
0.0,0.1,0.0016501704,0.0007267023,0.0,resume_from_csv
0.0,0.11,0.0016191577,0.0007305641,0.0,resume_from_csv
0.0,0.12,0.0023676326,0.0006879423,0.0,resume_from_csv
0.0,0.13,0.0007360267,0.0003005295,0.0,resume_from_csv
0.0,0.14,0.0012321195,0.0004285172,0.0,resume_from_csv
0.0,0.15,0.0013081059,0.0002796118,0.0,resume_from_csv
0.0,0.16,0.0019373865,0.0007875380,0.0,resume_from_csv
0.0,0.17,0.0008452331,0.0002816107,0.0,resume_from_csv
0.0,0.18,0.0006681495,0.0002530069,0.0,resume_from_csv
0.0,0.19,0.0008382204,0.0003764148,0.0,resume_from_csv
0.0,0.2,0.0016454669,0.0004969376,0.0,resume_from_csv
0.0,0.21,0.0013913328,0.0004612167,0.0,resume_from_csv
0.0,0.22,0.0009324280,0.0003570491,0.0,resume_from_csv
0.0,0.23,0.0006664715,0.0002445121,0.0,resume_from_csv
0.0,0.24,0.0006592622,0.0002848624,0.0,resume_from_csv
0.0,0.25,0.0005178209,0.0002084964,0.0,resume_from_csv
0.0,0.26,0.0008016250,0.0003522997,0.0,resume_from_csv
0.0,0.27,0.0004525639,0.0001814878,0.0,resume_from_csv
0.0,0.28,0.0008376612,0.0003205782,0.0,resume_from_csv
0.0,0.29,0.0009840217,0.0004467361,0.0,resume_from_csv
0.0,0.3,0.0015337764,0.0005336225,0.0,resume_from_csv
0.0,0.31,0.0012747011,0.0003048797,0.0,resume_from_csv
0.0,0.32,0.0006375825,0.0001964931,0.0,resume_from_csv
0.0,0.33,0.0010473409,0.0003519570,0.0,resume_from_csv
0.0,0.34,0.0009761184,0.0004197905,0.0,resume_from_csv
0.0,0.35,0.0004429308,0.0001921205,0.0,resume_from_csv
0.0,0.36,0.0009022960,0.0003671340,0.0,resume_from_csv
0.0,0.37,0.0006132510,0.0002204053,0.0,resume_from_csv
0.0,0.38,0.0004234780,0.0001722955,0.0,resume_from_csv
0.0,0.39,0.0002614955,0.0001064955,0.0,resume_from_csv
0.0,0.4,0.0003076830,0.0001277001,0.0,resume_from_csv
0.0,0.41,0.0007193293,0.0002305559,0.0,resume_from_csv
0.0,0.42,0.0005624129,0.0002994977,0.0,resume_from_csv
0.0,0.43,0.0003473137,0.0001439093,0.0,resume_from_csv
0.0,0.44,0.0006193624,0.0002462213,0.0,resume_from_csv
0.0,0.45,0.0002963511,0.0001241199,0.0,resume_from_csv
0.0,0.46,0.0002833203,0.0000913882,0.0,resume_from_csv
